Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,6.033330,6.060000,5.856670,5.933330,3.052452,803700
2014-01-03,5.980000,6.200000,5.910000,6.200000,3.189642,994200
2014-01-06,6.166670,6.236670,6.140000,6.216670,3.198219,1059000
2014-01-07,6.186670,6.316670,6.186670,6.250000,3.215365,1050300
2014-01-08,6.250000,6.303330,6.206670,6.236670,3.208508,1143900
2014-01-09,6.253330,6.283330,6.006670,6.066670,3.121050,1730700
2014-01-10,6.106670,6.240000,6.086670,6.133330,3.155344,1047000
2014-01-13,6.133330,6.266670,5.976670,5.983330,3.078175,497100
2014-01-14,5.973330,6.030000,5.900000,5.936670,3.054170,942000
2014-01-15,5.956670,5.990000,5.783330,5.816670,2.992435,4723800
2014-01-16,5.836670,5.886670,5.773330,5.773330,2.970139,1041000
2014-01-17,5.833330,5.853330,5.700000,5.793330,2.980428,428100
2014-01-20,5.793330,5.810000,5.766670,5.780000,2.973571,295800
2014-01-21,5.800000,5.833330,5.683330,5.683330,2.923837,501600
2014-01-22,5.686670,5.806670,5.686670,5.780000,2.973571,866100
2014-01-23,5.766670,5.813330,5.700000,5.716670,2.940989,366300
2014-01-24,5.730000,5.733330,5.550000,5.566670,2.863821,1041000
2014-01-27,5.570000,5.633330,5.450000,5.476670,2.817518,1676100
2014-01-28,5.530000,5.630000,5.433330,5.483330,2.820946,566400
2014-01-29,5.466670,5.533330,5.386670,5.500000,2.829522,586200
2014-01-30,5.500000,5.570000,5.333330,5.333330,2.743777,545700
2014-01-31,5.333330,5.416670,5.306670,5.333330,2.743777,1029000
2014-02-03,5.340000,5.343330,5.143330,5.210000,2.680329,782400
2014-02-04,5.263330,5.266670,5.106670,5.176670,2.663182,416700
2014-02-05,5.180000,5.180000,4.993330,5.050000,2.598016,1288500
2014-02-06,5.083330,5.350000,5.083330,5.296670,2.724916,1050900
2014-02-07,5.300000,5.340000,5.206670,5.330000,2.742064,535200
2014-02-10,5.356670,5.433330,5.350000,5.363330,2.759210,731700
2014-02-11,5.430000,5.430000,5.230000,5.270000,2.711196,828000
2014-02-12,5.300000,5.323330,5.150000,5.153330,2.651174,575400
2014-02-13,5.166670,5.206670,5.043330,5.166670,2.658037,1254900
2014-02-14,5.103330,5.133330,5.040000,5.103330,2.625451,1582500
2014-02-17,5.100000,5.100000,4.973330,4.973330,2.558572,378600
2014-02-18,4.986670,5.000000,4.900000,4.900000,2.520847,1495500
2014-02-19,4.903330,5.000000,4.666670,4.683330,2.409379,2473800
2014-02-20,4.703330,4.706670,4.450000,4.536670,2.333928,4893300
2014-02-21,4.583330,4.663330,4.540000,4.630000,2.381943,2432100
2014-02-24,4.660000,4.700000,4.553330,4.566670,2.349362,1090200
2014-02-25,4.603330,4.603330,4.340000,4.446670,2.287627,1834200
2014-02-26,4.446670,4.560000,4.430000,4.490000,2.309918,720300
2014-02-27,4.486670,4.553330,4.420000,4.466670,2.297916,1271400
2014-02-28,4.510000,4.683330,4.433330,4.600000,2.366509,971700
2014-03-05,4.633330,4.746670,4.633330,4.733330,2.435102,1045500
2014-03-06,4.716670,4.876670,4.700000,4.833330,2.486548,1919400
2014-03-07,4.836670,4.843330,4.726670,4.733330,2.435102,1503000
2014-03-10,4.736670,4.766670,4.586670,4.683330,2.409379,1152900
2014-03-11,4.673330,4.830000,4.666670,4.750000,2.443678,589800
2014-03-12,4.833330,4.853330,4.683330,4.723330,2.429957,7059900
2014-03-13,4.723330,4.820000,4.666670,4.666670,2.400808,1049400
2014-03-14,4.680000,4.760000,4.633330,4.633330,2.383655,839400
2014-03-17,4.633330,4.740000,4.506670,4.563330,2.347643,1134900
2014-03-18,4.573330,4.723330,4.556670,4.723330,2.429957,3544500
2014-03-19,4.696670,4.783330,4.633330,4.660000,2.397377,1677300
2014-03-20,4.673330,4.713330,4.610000,4.673330,2.404234,814200
2014-03-21,4.666670,4.776670,4.633330,4.776670,2.457399,743100
