Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,10.120700,10.213200,9.735540,9.752070,7.114282,5952595
2014-01-03,9.753720,9.917350,9.753720,9.889260,7.214363,5780775
2014-01-06,9.821490,9.988430,9.745450,9.750410,7.113072,3357750
2014-01-07,9.834710,10.104100,9.765290,9.943800,7.254150,6426310
2014-01-08,9.885950,10.006600,9.829750,9.925620,7.240887,2744885
2014-01-09,9.923970,9.927270,9.553720,9.596690,7.000929,8944320
2014-01-10,9.520660,9.765290,9.485950,9.485950,6.920144,3550745
2014-01-13,9.512400,9.586780,9.423140,9.495870,6.927382,4342085
2014-01-14,9.423140,9.586780,9.423140,9.479340,6.915321,4692380
2014-01-15,9.550410,9.578510,9.472730,9.520660,6.945464,9526935
2014-01-16,9.553720,9.659500,9.406610,9.454550,6.897236,4812775
2014-01-17,9.471070,9.490910,9.305790,9.350410,6.821262,4890820
2014-01-20,9.380170,9.520660,9.328930,9.472730,6.910499,5141290
2014-01-21,9.547110,9.550410,9.388430,9.520660,6.945464,11581515
2014-01-22,9.591730,10.019800,9.512400,9.983470,7.283090,7124480
2014-01-23,9.895870,10.071100,9.656200,9.671070,7.055190,6674360
2014-01-24,9.576860,9.576860,9.347110,9.462810,6.903261,7457230
2014-01-27,9.504130,9.543800,9.224790,9.289260,6.776655,7247900
2014-01-28,9.416530,9.533880,9.224790,9.256200,6.752535,8561355
2014-01-29,9.234710,9.279340,9.057850,9.089260,6.630753,7767595
2014-01-30,9.044630,9.246280,9.011570,9.148760,6.674156,5662800
2014-01-31,9.052890,9.198350,9.031400,9.161980,6.683801,8610360
2014-02-03,9.161980,9.161980,8.842970,8.923970,6.510170,8789440
2014-02-04,8.930580,9.123970,8.828100,8.976860,6.548753,7768200
2014-02-05,8.930580,9.016530,8.760330,8.872730,6.472790,9173010
2014-02-06,8.961980,9.046280,8.811570,8.991740,6.559608,6667100
2014-02-07,8.960330,9.171900,8.960330,9.145450,6.671742,6016725
2014-02-10,9.061160,9.173550,8.995040,9.049590,6.601813,3689895
2014-02-11,9.110740,9.170250,8.900830,8.933880,6.517398,11951775
2014-02-12,8.933880,9.138840,8.876030,8.978510,6.549957,3401915
2014-02-13,8.885950,9.090910,8.823140,9.049590,6.601813,2740650
2014-02-14,9.064460,9.132230,8.961980,9.041320,6.595778,3051015
2014-02-17,8.981820,9.077690,8.828100,8.909090,6.499314,4838790
2014-02-18,8.877680,9.041320,8.829750,8.864460,6.466755,6711870
2014-02-19,8.857850,9.072730,8.737190,8.950410,6.529456,5593225
2014-02-20,8.965290,9.115700,8.833060,9.107440,6.644012,6463820
2014-02-21,9.280990,9.545450,9.148760,9.504130,6.933405,8931615
2014-02-24,9.548760,9.548760,9.295870,9.421490,6.873119,4572590
2014-02-25,9.322310,9.519010,9.322310,9.366940,6.833322,3651780
2014-02-26,9.361980,9.634710,9.307440,9.548760,6.965962,5924765
2014-02-27,9.561980,9.821490,9.454550,9.710740,7.084131,5446210
2014-02-28,9.785120,9.785120,9.489260,9.537190,6.957523,4974915
2014-03-05,9.507440,9.783470,9.505780,9.547110,6.964757,3345045
2014-03-06,9.537190,9.790080,9.537190,9.638020,7.031078,4599815
2014-03-07,9.618180,9.771900,9.509090,9.561980,6.975605,3727405
2014-03-10,9.505780,9.628100,9.396690,9.471070,6.909286,4091010
2014-03-11,9.517350,9.611570,9.404960,9.548760,6.965962,3525335
