Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,39.180000,39.389999,38.549999,38.549999,23.465626,26200
2014-01-03,38.880001,41.490002,38.860001,41.490002,25.255222,38700
2014-01-06,40.750000,40.790001,39.490002,40.410000,24.597815,6200
2014-01-07,40.200001,41.090000,40.200001,41.000000,24.956957,26600
2014-01-08,40.590000,41.200001,40.200001,40.200001,24.469992,32600
2014-01-09,40.230000,40.700001,39.790001,40.700001,24.774353,13400
2014-01-10,40.259998,41.380001,40.000000,41.380001,25.188263,11900
2014-01-13,40.490002,40.790001,40.490002,40.790001,24.829132,1100
2014-01-14,40.570000,41.439999,40.279999,40.900002,24.896086,52900
2014-01-15,40.849998,41.770000,40.849998,41.549999,25.291748,7900
2014-01-16,40.869999,42.000000,40.869999,42.000000,25.565662,6400
2014-01-17,41.189999,41.500000,40.680000,41.200001,25.078695,13100
2014-01-20,40.340000,40.910000,40.340000,40.459999,24.628269,4000
2014-01-21,40.900002,40.910000,40.000000,40.540001,24.676956,27600
2014-01-22,40.709999,41.910000,40.709999,41.889999,25.498705,22100
2014-01-23,41.669998,41.669998,41.180000,41.180000,25.066523,8500
2014-01-24,40.910000,41.740002,40.049999,41.400002,25.200438,13500
2014-01-27,41.060001,41.060001,39.650002,39.650002,24.135208,12300
2014-01-28,40.160000,40.160000,38.720001,39.689999,24.159554,73900
2014-01-29,39.299999,39.709999,38.779999,38.779999,23.605623,19100
2014-01-30,38.360001,39.889999,38.299999,38.560001,23.471725,13900
2014-01-31,38.779999,39.709999,38.709999,39.459999,24.019545,87400
2014-02-03,39.410000,39.750000,38.939999,39.290001,23.916073,8100
2014-02-04,38.950001,39.000000,38.840000,38.980000,23.727373,5200
2014-02-05,38.630001,39.020000,38.560001,39.020000,23.751719,15800
2014-02-06,38.500000,39.720001,38.500000,39.040001,23.763893,9700
2014-02-07,38.599998,39.299999,38.599998,38.720001,23.569107,4900
2014-02-10,38.500000,39.660000,38.500000,39.660000,24.141289,65000
2014-02-11,39.209999,40.599998,39.200001,40.599998,24.713478,57100
2014-02-12,40.360001,40.520000,40.090000,40.520000,24.664783,9200
2014-02-13,40.029999,40.029999,39.410000,39.500000,24.043896,21700
2014-02-14,39.509998,40.049999,39.500000,40.049999,24.378683,5200
2014-02-17,39.560001,39.639999,39.310001,39.480000,24.031723,1800
2014-02-18,39.189999,39.189999,37.950001,38.490002,23.429110,11300
2014-02-19,38.259998,38.279999,37.599998,37.799999,23.009100,20400
2014-02-20,37.599998,37.770000,37.549999,37.549999,22.856928,4900
2014-02-21,37.610001,37.610001,37.110001,37.200001,22.643877,14400
2014-02-24,37.250000,37.759998,37.250000,37.400002,22.765623,9600
2014-02-25,37.169998,37.169998,37.160000,37.160000,22.619534,400
2014-02-26,37.540001,38.000000,37.500000,37.500000,22.826488,74800
2014-02-27,37.830002,37.889999,37.299999,37.500000,22.826488,30300
2014-02-28,37.500000,37.849998,37.220001,37.799999,23.009100,8900
2014-03-05,37.290001,38.189999,37.290001,38.189999,23.246498,3200
2014-03-06,38.150002,38.509998,38.029999,38.500000,23.435196,45700
2014-03-07,38.200001,38.599998,38.200001,38.200001,23.252581,12600
2014-03-10,37.840000,39.240002,37.840000,38.360001,23.349979,4800
2014-03-11,38.500000,38.900002,38.119999,38.900002,24.228821,7100
2014-03-12,38.889999,38.889999,38.290001,38.290001,23.848883,1900
2014-03-13,37.919998,37.919998,37.849998,37.849998,23.574823,700
2014-03-14,37.500000,37.689999,37.299999,37.320000,23.244728,7400
2014-03-17,37.650002,38.680000,37.360001,37.360001,23.269623,5500
2014-03-18,37.930000,38.520000,37.799999,37.799999,23.543688,13000
2014-03-19,38.139999,38.450001,38.040001,38.419998,23.929852,3400
2014-03-20,39.480000,39.480000,38.959999,39.000000,24.291094,13000
2014-03-21,39.000000,40.000000,39.000000,40.000000,24.913958,8700
2014-03-24,40.000000,40.070000,39.950001,40.070000,24.957556,13000
2014-03-25,40.009998,40.189999,39.990002,39.990002,24.907722,1600
